地名,センター,可燃ごみ,粗大・不燃ごみ,資源ごみＡ,資源ごみＢ
塩田,西部管理センター,月 木,水1,土1,土2
志筑,西部管理センター,月 木,水2,土1,土2
中田・大町,西部管理センター,火 金,水3,土3,土4
生穂・佐野,西部管理センター,火 金,水4,土3,土4
南鵜崎・鵜崎・田代,西部管理センター,火 金,水1,日4,土1
神前・東町・中町・茶間,西部管理センター,火 金,水2,日4,土2
橋本・西町・片浜,西部管理センター,月 木,水3,日4,土3
西岡・長浜・松帆・開京・別所・谷山,西部管理センター,月 木,水4,日4,土4
浅野・富島,西部管理センター,月 木,水1,土1,土2
野島・長畠・仁井・小田,西部管理センター,月 木,水2,土1,土2
育波・斗ノ内,西部管理センター,火 金,水3,土3,土4
室津・生田,西部管理センター,火 金,水4,土3,土4
江井・山田,西部管理センター,月 木,水1,土1,土2
多賀,西部管理センター,月 木,水2,土1,土2
郡家・柳沢,西部管理センター,火 金,水3,土3,土4
尾崎,西部管理センター,火 金,水4,土3,土4
楠本・大磯・浦・白山・河内・中持,西部管理センター,月 木,水1,土1,土2
久留麻,西部管理センター,火 金,水2,土1,土2
仮屋・谷・下田,西部管理センター,火 金,水3,土1,土2
釜口,東部管理センター,火 金,水4,土1,土2